Timestamp,X,Y
0,465,411
107.508,465,411
212.7837,465,411
335.5384,465,411
457.5178,465,411
564.9255,465,411
672.6217,465,411
780.6601,465,411
887.1678,465,411
992.7794,465,411
1116.5764,465,411
1238.9465,465,411
1346.2777,465,411
1452.1054,465,411
1557.5391,465,411
1665.0254,465,411
1787.9859,465,411
1911.9365,465,411
2020.1094,465,411
