3.5363,522,625
118.607,522,625
225.1055,522,625
333.5086,522,625
440.678,522,625
549.9019,522,625
657.3146,522,625
764.8206,522,625
887.8756,522,625
995.5421,522,625
1102.4029,522,625
1211.1604,522,626
1318.4478,514,666
1425.7729,475,767
1534.5339,453,801
1641.878,436,806
1763.2387,385,806
1869.9285,385,807
1976.7569,383,817
2082.9754,383,817
2188.9132,383,817
2296.5345,383,817
2416.6721,383,815
2522.6896,385,814
2627.9075,388,813
2734.1965,391,815
2855.4488,397,811
2975.8447,392,734
3081.1871,399,713
3186.2203,399,693
3305.772,380,636
3411.0113,381,627
3517.7306,385,542
3624.1556,369,375
3746.3933,392,346
3869.1108,443,319
3975.259,461,306
4089.0325,497,284
4205.9853,532,274
4311.4283,552,269
4431.6723,591,254
4537.6873,595,253
4644.9591,595,253
4753.9304,595,253
4858.9248,595,253
4979.9757,595,253
5087.5895,595,253
5194.317,595,253
5300.3943,595,253
5407.295,595,253
5529.0664,595,253
5650.2043,595,253
5757.2093,595,253
5863.5558,595,253
5970.3579,595,253
6076.8233,595,253
6198.0915,595,253
6304.7145,595,253
6415.1631,595,253
6549.5293,595,253
6669.703,595,253
6792.7547,595,253
6899.2623,595,253
7006.1939,595,253
7113.7323,595,253
7219.2764,595,253
7342.1609,595,253
7463.7763,595,253
7569.5269,595,253
7676.4369,595,253
7783.166,595,253
7889.3992,595,253
8010.7051,595,253
8119.1305,595,253
8224.9227,595,253
8333.0474,595,253
8439.8257,595,253
8546.1121,595,253
8668.3802,595,253
8775.1871,595,253
8897.6204,624,266
9004.7713,633,272
9111.0291,646,281
9231.1485,668,297
9351.7226,703,309
9457.469,707,315
9564.4492,707,317
9671.6915,712,328
9792.5872,715,336
9899.4126,717,345
10005.5874,718,347
10112.9353,720,351
10220.8583,734,371
10328.6903,734,371
10451.4597,734,371
10571.9817,734,371
10677.3518,734,371
10784.2166,734,371
10891.7698,734,371
10999.2693,734,371
11121.2131,734,371
11242.9088,734,371
11349.2987,734,371
11457.8818,734,371
11563.776,734,371
11671.6833,734,371
11795.6782,734,371
11916.6726,734,371
12039.1273,734,371
12145.0874,734,371
12252.2887,734,371
12358.2284,734,371
12480.4611,734,371
12603.1972,734,371
12709.7903,734,371
12817.1849,734,371
12923.7137,734,371
13030.5855,734,371
13151.7715,734,371
13257.3144,734,371
13363.336,734,371
13471.2012,734,371
13577.5837,734,371
13699.6622,734,371
13822.5229,734,371
13930.6857,734,371
14036.1452,734,371
14142.8982,734,371
14249.2448,734,371
14372.8597,734,371
14493.6337,734,371
14600.1965,734,371
14706.0191,734,371
14813.6957,734,371
14935.9278,734,371
15057.2214,734,371
15162.8008,734,371
15268.4744,736,372
15374.7051,848,390
15495.3785,856,392
15601.2589,879,391
15707.388,881,391
15816.9224,933,378
15934.1662,939,374
16041.1146,941,371
16149.627,941,371
16255.8505,944,371
16362.9594,962,362
16469.59,963,362
16576.924,971,356
16699.1434,972,356
16820.2094,979,351
16926.695,979,351
17033.1448,984,347
17140.7771,986,345
17262.1116,986,345
17383.3916,986,345
17490.7011,986,345
17597.6553,988,340
17703.7734,988,340
17826.2826,988,340
17947.9233,988,340
18053.7421,988,340
18161.7042,988,340
18269.0942,988,340
18375.3168,988,340
18497.2391,988,340
18618.537,988,340
18725.0563,988,340
18832.4055,988,340
18937.6647,988,340
19059.7434,988,340
19181.4885,988,340
19285.5828,988,340
19406.8481,988,340
19528.4567,988,340
19650.1771,988,340
19757.3229,988,340
19864.5412,988,340
19970.9994,988,340
20091.42,988,340
20214.0378,988,340
20319.7038,988,340
20424.2124,988,340
20531.2616,988,340
20653.6253,988,340
20774.1922,988,340
20879.7708,988,340
20987.6743,988,340
21093.3104,988,340
21214.5777,988,340
21321.0059,988,340
21426.7374,988,340
21534.2437,988,340
21642.3528,988,340
21763.5798,988,340
21884.5443,988,340
21990.4721,988,340
22096.9259,988,340
22206.0116,988,340
22311.2015,988,340
22434.2744,988,340
22555.8791,988,340
22660.4929,988,340
22766.8449,988,340
22873.9051,988,340
22996.3807,988,340
23118.3178,988,340
23223.7284,988,340
23329.8028,988,340
23437.6089,988,340
23545.7264,988,340
23666.616,988,340
23773.5947,988,340
23881.4605,988,340
23987.9601,1010,395
24093.2684,1140,560
24214.8713,1236,764
24321.0546,1308,962
24429.8047,1325,1045
24534.8033,1350,1080
24640.6315,1350,1080
24748.685,1350,1075
24869.1749,1353,1074
24975.696,1355,1075
